,acronym,name,color_hex_triplet,graph_order,id,structure_id_path
0,eps,extrapyramidal fiber systems,CCCCCC,1218,1000,/997/1009/1000/
1,ARH,Arcuate hypothalamic nucleus,FF5D50,733,223,/997/8/343/1129/1097/157/223/
2,SS6b,"Somatosensory areas, layer 6b",188064,36,12998,/997/8/567/688/695/315/453/12998/
3,AIp2/3,"Agranular insular area, posterior part, layer 2/3",219866,287,163,/997/8/567/688/695/315/95/111/163/
4,PRNv,"Pontine reticular nucleus, ventral part",FFBA86,914,552,/997/8/343/1065/771/987/552/
5,PBle,"Parabrachial nucleus, lateral division, external lateral part",FFAE6F,895,875,/997/8/343/1065/771/1132/867/881/875/
6,ar,auditory radiation,CCCCCC,1217,484682524,/997/1009/983/896/484682524/
7,ProSv-sp,"Prosubiculum, ventral part, pyramidal layer",56B84B,551,484682500,/997/8/567/688/695/1089/822/484682470/484682492/484682500/
8,VIS2/3,"Visual areas, layer 2/3",08858C,159,561,/997/8/567/688/695/315/669/561/
9,RSPagl2/3,"Retrosplenial area, lateral agranular part, layer 2/3",1AA698,300,965,/997/8/567/688/695/315/254/894/965/
10,AIp6b,"Agranular insular area, posterior part, layer 6b",219866,290,355,/997/8/567/688/695/315/95/111/355/
11,fiber tracts,fiber tracts,CCCCCC,1101,1009,/997/1009/
12,apf,ansoparamedian fissure,AAAAAA,1321,43,/997/1024/1040/43/
13,mfbsma,mammillary related,CCCCCC,1277,46,/997/1009/991/824/46/
14,SO,Supraoptic nucleus,FF5D50,717,390,/997/8/343/1129/1097/157/390/
15,PTLp2/3,"Posterior parietal association areas, layer 2/3",009FAC,341,241,/997/8/567/688/695/315/22/241/
16,RT,Reticular nucleus of the thalamus,FF909F,703,262,/997/8/343/1129/549/856/262/
17,VCO,Ventral cochlear nucleus,FFA5D2,942,101,/997/8/343/1065/354/386/607/101/
18,MOBopl,"Main olfactory bulb, outer plexiform layer",9AD2BD,385,244,/997/8/567/688/695/698/507/244/
19,cvb,efferent cochleovestibular bundle,CCCCCC,1134,1076,/997/1009/967/933/1076/
20,VISal1,"Anterolateral visual area, layer 1",08858C,165,1074,/997/8/567/688/695/315/669/402/1074/
21,eg,endorhinal groove,AAAAAA,1306,1055,/997/1024/1032/1055/
22,ORBl2/3,"Orbital area, lateral part, layer 2/3",248A5E,260,412,/997/8/567/688/695/315/714/723/412/
23,ll,lateral lemniscus,CCCCCC,1140,658,/997/1009/967/933/948/658/
24,NLOT,Nucleus of the lateral olfactory tract,95E4C8,421,619,/997/8/567/688/695/698/619/
25,SSp-m2/3,"Primary somatosensory area, mouth, layer 2/3",188064,74,657,/997/8/567/688/695/315/453/322/345/657/
26,SSs,Supplemental somatosensory area,188064,100,378,/997/8/567/688/695/315/453/378/
27,VIS,Visual areas,08858C,157,669,/997/8/567/688/695/315/669/
28,ENTm6,"Entorhinal area, medial part, dorsal zone, layer 6",32B825,516,743,/997/8/567/688/695/1089/822/909/926/743/
29,LINGpu,"Lingula (I), Purkinje layer",FFFC91,1022,10706,/997/8/512/528/645/912/10706/
30,MD,Mediodorsal nucleus of thalamus,FF909F,685,362,/997/8/343/1129/549/856/444/362/
31,NTSm,"Nucleus of the solitary tract, medial part",FFA5D2,953,691,/997/8/343/1065/354/386/651/691/
32,RSPv5,"Retrosplenial area, ventral part, layer 5",1AA698,336,687,/997/8/567/688/695/315/254/886/687/
33,CUL5,Lobule V,FFFC91,1038,1001,/997/8/512/528/645/928/1001/
